Customer ID,LastPurchaseDate,PurchaseFrequency,TotalSpending,DaysSinceLastPurchase,Risk
MC-17590,2014-11-10,17,2426.067,51,Low Risk
MC-17605,2014-09-10,18,2258.192,112,Medium Risk
MC-17635,2014-06-25,8,795.154,189,High Risk
MC-17845,2014-12-30,14,3805.714,1,Low Risk
MC-18100,2014-11-20,19,2218.98,41,Low Risk
MC-18130,2013-12-27,11,1581.998,369,High Risk
MD-17350,2014-09-05,17,3766.382,117,Medium Risk
MD-17860,2014-11-25,8,1204.9099999999999,36,Low Risk
ME-17320,2014-11-19,22,10663.728000000001,42,Low Risk
ME-17725,2014-12-03,13,1908.4532,28,Low Risk
ME-18010,2014-09-30,6,1256.944,92,Medium Risk
MF-17665,2013-11-05,8,937.039,421,High Risk
MF-18250,2014-12-24,12,1758.3,7,Low Risk
MG-17650,2014-12-02,14,3785.276,29,Low Risk
MG-17680,2014-09-30,10,2350.188,92,Medium Risk
MG-17695,2013-06-24,7,1342.282,555,High Risk
MG-17875,2014-09-06,7,1242.833,116,Medium Risk
MG-17890,2014-09-23,13,776.384,99,Medium Risk
MG-18145,2014-10-08,8,3061.543,84,Low Risk
MG-18205,2014-04-11,2,16.739,264,High Risk
MH-17290,2014-09-03,13,2394.025,119,Medium Risk
MH-17440,2013-12-20,9,400.01599999999996,376,High Risk
MH-17455,2014-10-07,11,2456.1820000000002,85,Low Risk
MH-17620,2014-07-29,6,1252.8,155,Medium Risk
MH-17785,2014-09-24,11,2203.7780000000002,98,Medium Risk
MH-18025,2014-11-12,10,2984.948,49,Low Risk
MH-18115,2014-12-26,22,5503.093,5,Low Risk
MJ-17740,2014-12-09,15,6320.746,22,Low Risk
MK-17905,2014-12-03,17,2302.368,28,Low Risk
MK-18160,2014-05-05,11,1031.602,240,High Risk
ML-17395,2014-10-23,20,2722.843,69,Low Risk
ML-17410,2014-11-07,15,2921.5,54,Low Risk
ML-17755,2014-12-02,13,2071.914,29,Low Risk
ML-18040,2014-10-13,4,742.082,79,Low Risk
ML-18265,2014-09-22,3,162.23200000000003,100,Medium Risk
MM-17260,2014-07-16,6,1314.0230000000001,168,Medium Risk
MM-17920,2014-12-24,16,3794.08,7,Low Risk
MM-18055,2014-10-31,19,2749.881,61,Low Risk
MM-18280,2014-10-07,12,775.414,85,Low Risk
MN-17935,2014-11-27,10,2477.946,34,Low Risk
MO-17500,2014-10-20,5,922.487,72,Low Risk
MO-17800,2014-09-18,11,1687.027,104,Medium Risk
MO-17950,2014-07-04,4,154.288,180,Medium Risk
MP-17470,2013-01-11,14,3206.132,719,High Risk
MP-17965,2014-10-20,20,3983.6420000000003,72,Low Risk
MP-18175,2014-12-15,19,5087.92,16,Low Risk
MR-17545,2014-08-28,6,639.178,125,Medium Risk
MS-17365,2014-04-02,24,7443.6900000000005,273,High Risk
MS-17530,2013-10-23,7,475.65599999999995,434,High Risk
MS-17710,2013-11-13,15,1613.402,413,High Risk
MS-17770,2014-09-01,19,3144.678,121,Medium Risk
MS-17830,2013-10-05,5,370.348,452,High Risk
MS-17980,2014-12-05,11,855.116,26,Low Risk
MT-17815,2014-11-12,10,2890.1389999999997,49,Low Risk
MT-18070,2014-06-11,11,1319.4497999999999,203,High Risk
MV-17485,2014-12-04,15,1560.05,27,Low Risk
MV-18190,2014-12-12,11,1734.574,19,Low Risk
MW-18220,2014-12-14,14,5341.900000000001,17,Low Risk
MW-18235,2014-11-17,3,5253.876,44,Low Risk
MY-17380,2014-12-02,13,2254.285,29,Low Risk
MY-18295,2014-10-21,21,4152.696,71,Low Risk
MZ-17335,2014-12-01,6,593.606,30,Low Risk
MZ-17515,2014-03-24,10,2564.906,282,High Risk
NB-18580,2011-10-22,2,273.87199999999996,1166,High Risk
NB-18655,2014-12-12,17,1972.599,19,Low Risk
NC-18340,2014-05-21,17,2461.404,224,High Risk
NC-18415,2014-11-20,14,2218.9900000000002,41,Low Risk
NC-18535,2014-12-25,15,8241.739,6,Low Risk
NC-18625,2014-06-10,9,1821.7420000000002,204,High Risk
ND-18370,2014-12-04,18,4326.139,27,Low Risk
ND-18460,2014-07-01,8,2893.455,183,High Risk
NF-18385,2014-10-13,14,8322.826,79,Low Risk
NF-18475,2013-07-24,4,377.162,525,High Risk
NF-18595,2014-09-08,12,2031.472,114,Medium Risk
NG-18355,2014-11-13,16,1869.58,48,Low Risk
NG-18430,2014-11-13,9,1395.938,48,Low Risk
NH-18610,2014-06-25,11,2673.29,189,High Risk
NK-18490,2014-10-22,11,572.048,70,Low Risk
NL-18310,2014-11-03,10,1418.09,58,Low Risk
NM-18445,2014-07-24,14,6459.344,160,Medium Risk
NM-18520,2014-05-01,15,2161.9790000000003,244,High Risk
NP-18325,2014-12-06,21,5529.62,25,Low Risk
NP-18670,2014-11-03,10,3908.402,58,Low Risk
NP-18685,2013-11-20,7,1228.698,406,High Risk
NP-18700,2014-08-15,13,7903.1825,138,Medium Risk
NR-18550,2014-06-04,13,2367.277,210,High Risk
NS-18505,2014-12-25,15,2575.863,6,Low Risk
NS-18640,2014-07-10,26,2964.823,174,Medium Risk
NW-18400,2014-07-12,22,7234.014,172,Medium Risk
NZ-18565,2014-10-07,20,2488.31,85,Low Risk
ON-18715,2013-11-16,15,1567.52,410,High Risk
OT-18730,2014-10-27,10,3818.624,65,Low Risk
PA-19060,2014-09-19,7,729.408,103,Medium Risk
PB-18805,2014-12-06,10,740.356,25,Low Risk
PB-19105,2014-11-04,5,688.324,57,Low Risk
PB-19150,2014-09-25,11,1456.95,97,Medium Risk
PB-19210,2013-02-11,2,132.738,688,High Risk
PC-18745,2014-12-29,5,1832.064,2,Low Risk
PC-19000,2012-08-01,3,1061.488,882,High Risk
PF-19120,2012-09-17,19,9062.864,835,High Risk
PF-19165,2014-06-18,10,2770.0,196,High Risk
PF-19225,2014-09-08,10,2206.128,114,Medium Risk
PG-18820,2014-11-25,26,3086.9069999999997,36,Low Risk
PG-18895,2014-11-04,17,1987.164,57,Low Risk
PH-18790,2014-10-22,2,729.648,70,Low Risk
PJ-18835,2014-11-22,13,1220.0900000000001,39,Low Risk
PJ-19015,2014-08-19,10,1824.2340000000002,134,Medium Risk
PK-18910,2013-09-04,3,1441.152,483,High Risk
PK-19075,2014-12-22,25,8646.934,9,Low Risk
PL-18925,2014-12-16,8,239.481,15,Low Risk
PM-18940,2013-12-10,4,1405.402,386,High Risk
PM-19135,2014-11-10,7,4115.662,51,Low Risk
PN-18775,2014-12-01,13,1467.152,30,Low Risk
PO-18850,2014-12-27,22,7473.8282,4,Low Risk
PO-18865,2014-12-31,13,2493.214,0,Low Risk
PO-19180,2014-07-24,18,4893.043,160,Medium Risk
PO-19195,2014-10-06,10,1056.858,86,Low Risk
PP-18955,2014-09-25,34,7252.608,97,Medium Risk
PR-18880,2014-11-25,12,1840.1779999999999,36,Low Risk
PS-18760,2014-09-15,21,2181.479,107,Medium Risk
PS-18970,2014-10-23,13,1278.639,69,Low Risk
PS-19045,2014-05-09,13,6843.634,236,High Risk
PT-19090,2014-10-21,7,160.572,71,Low Risk
PV-18985,2014-10-03,13,2876.0460000000003,89,Low Risk
PW-19030,2014-11-15,13,3454.916,46,Low Risk
PW-19240,2013-09-23,12,3922.415,464,High Risk
QJ-19255,2014-12-06,13,6108.338,25,Low Risk
RA-19285,2014-12-26,17,2617.906,5,Low Risk
RA-19885,2014-11-18,15,3832.314,43,Low Risk
RA-19915,2014-12-19,22,4793.543000000001,12,Low Risk
RA-19945,2014-10-31,9,1686.9225,61,Low Risk
RB-19330,2014-10-24,6,1008.1959999999999,68,Low Risk
RB-19360,2014-09-26,18,15117.339,96,Medium Risk
RB-19435,2014-12-12,16,2663.0860000000002,19,Low Risk
RB-19465,2014-12-22,23,4715.466,9,Low Risk
RB-19570,2014-12-06,9,528.5459999999999,25,Low Risk
RB-19645,2013-03-23,7,221.084,648,High Risk
RB-19705,2014-11-07,7,2067.45,54,Low Risk
RB-19795,2014-11-29,18,5633.316000000001,32,Low Risk
RC-19825,2013-12-27,10,966.409,369,High Risk
RC-19960,2014-09-12,11,885.752,110,Medium Risk
RD-19480,2014-10-20,15,4272.93,72,Low Risk
RD-19585,2014-07-04,19,2912.894,180,Medium Risk
RD-19660,2014-09-08,5,2786.632,114,Medium Risk
RD-19720,2014-12-10,20,1419.737,21,Low Risk
RD-19810,2014-12-17,16,1137.616,14,Low Risk
RD-19900,2014-09-08,21,3133.924,114,Medium Risk
RD-19930,2014-11-19,10,970.942,42,Low Risk
RE-19405,2011-12-29,1,48.36,1098,High Risk
RE-19450,2014-03-04,9,876.696,302,High Risk
RF-19345,2013-12-06,16,3309.1499999999996,390,High Risk
RF-19735,2014-10-03,14,2341.2960000000003,89,Low Risk
RF-19840,2014-12-25,11,945.222,6,Low Risk
RH-19495,2014-11-29,8,3621.3759999999997,32,Low Risk
RH-19510,2013-09-20,12,6979.18,467,High Risk
RH-19555,2013-07-30,3,740.382,519,High Risk
RH-19600,2013-07-15,11,2085.7400000000002,534,High Risk
RK-19300,2014-09-03,8,1460.192,119,Medium Risk
RL-19615,2014-09-01,24,6234.91,121,Medium Risk
RM-19375,2014-01-20,9,1453.474,345,High Risk
RM-19675,2014-12-25,11,5979.096,6,Low Risk
RM-19750,2014-03-07,2,98.35,299,High Risk
RO-19780,2014-11-26,12,3815.478,35,Low Risk
RP-19270,2013-08-22,12,954.6451999999999,496,High Risk
RP-19390,2014-11-28,25,5153.084,33,Low Risk
RP-19855,2014-12-03,15,2170.716,28,Low Risk
RR-19315,2014-12-12,4,615.932,19,Low Risk
RR-19525,2014-07-14,10,3302.2619999999997,170,Medium Risk
RS-19420,2014-10-16,9,3221.29,76,Low Risk
RS-19765,2014-11-25,14,4159.7699999999995,36,Low Risk
RS-19870,2014-12-12,3,22.328,19,Low Risk
RW-19540,2014-09-02,23,7397.401,120,Medium Risk
RW-19630,2014-10-03,16,3279.746,89,Low Risk
RW-19690,2014-10-13,15,3495.6459999999997,79,Low Risk
SA-20830,2014-10-29,21,4767.3415,63,Low Risk
SB-20170,2014-06-13,7,1348.02,201,High Risk
SB-20185,2014-06-26,12,6410.996,188,High Risk
SB-20290,2014-11-14,17,8057.891,47,Low Risk
SC-20020,2012-11-10,17,3362.9636,781,High Risk
SC-20050,2014-11-21,15,4624.572,40,Low Risk
SC-20095,2014-01-16,22,14142.334,349,High Risk
SC-20230,2014-08-04,11,4371.958,149,Medium Risk
SC-20260,2014-06-27,18,3729.7929999999997,187,High Risk
SC-20305,2014-12-02,12,3979.065,29,Low Risk
SC-20380,2014-12-01,20,5992.536,30,Low Risk
SC-20440,2014-11-25,10,1874.998,36,Low Risk
SC-20575,2014-09-30,7,902.7280000000001,92,Medium Risk
SC-20680,2014-08-27,8,1254.64,126,Medium Risk
SC-20695,2014-10-03,14,2576.408,89,Low Risk
SC-20725,2014-06-27,26,5226.21,187,High Risk
SC-20770,2014-11-20,21,4492.657,41,Low Risk
SC-20800,2014-12-01,5,279.256,30,Low Risk
SC-20845,2014-08-22,4,280.632,131,Medium Risk
SD-20485,2014-06-14,21,6121.114,200,High Risk
SE-20110,2014-12-22,19,12209.438,9,Low Risk
SF-20065,2014-11-02,9,763.546,59,Low Risk
SF-20200,2014-11-02,15,3422.786,59,Low Risk
SF-20965,2014-11-13,17,3336.535,48,Low Risk
SG-20080,2014-12-23,11,3406.5809999999997,8,Low Risk
SG-20470,2014-07-01,14,1884.7980000000002,183,High Risk
SG-20605,2014-09-14,13,3124.8320000000003,108,Medium Risk
SG-20890,2014-05-19,5,47.946,226,High Risk
SH-19975,2014-12-02,29,3406.8395,29,Low Risk
SH-20395,2014-12-08,15,2180.718,23,Low Risk
SH-20635,2012-11-26,2,2096.392,765,High Risk
SJ-20125,2014-09-27,24,3949.656,95,Medium Risk
SJ-20215,2014-12-02,10,1341.036,29,Low Risk
SJ-20500,2014-04-22,7,1318.7759999999998,253,High Risk
SK-19990,2014-12-23,5,883.409,8,Low Risk
SL-20155,2014-10-22,9,3053.012,70,Low Risk
SM-20005,2013-11-05,6,244.49399999999997,421,High Risk
SM-20320,2014-10-13,15,25043.050000000003,79,Low Risk
SM-20905,2013-05-04,6,1043.041,606,High Risk
SM-20950,2014-12-06,22,5563.392,25,Low Risk
SN-20560,2014-09-11,15,1860.4180000000001,111,Medium Risk
SN-20710,2014-10-13,19,3127.9592,79,Low Risk
SO-20335,2014-12-02,15,2602.5755,29,Low Risk
SP-20545,2014-02-07,10,1306.086,327,High Risk
SP-20620,2014-11-14,24,5440.319,47,Low Risk
SP-20650,2013-12-10,15,1872.4360000000001,386,High Risk
SP-20860,2014-10-13,24,4282.94,79,Low Risk
SP-20920,2014-10-22,14,3990.689,70,Low Risk
SR-20425,2014-12-23,9,3233.4809999999998,8,Low Risk
SR-20740,2014-06-18,12,4345.886,196,High Risk
SS-20140,2014-12-16,21,1324.028,15,Low Risk
SS-20410,2014-09-12,12,3056.807,110,Medium Risk
SS-20515,2013-08-27,6,613.4,491,High Risk
SS-20590,2013-10-25,9,418.49,432,High Risk
SS-20875,2014-09-02,15,964.636,120,Medium Risk
ST-20530,2014-08-28,12,433.34,125,Medium Risk
SU-20665,2014-12-11,18,2595.364,20,Low Risk
SV-20365,2014-09-21,32,11470.949999999999,101,Medium Risk
SV-20785,2014-02-14,25,4105.305,320,High Risk
SV-20815,2014-10-16,6,1271.0900000000001,76,Low Risk
SV-20935,2014-12-29,13,1903.491,2,Low Risk
SW-20245,2014-10-11,10,1085.078,81,Low Risk
SW-20275,2014-12-01,7,1966.65,30,Low Risk
SW-20350,2014-07-22,6,1019.044,162,Medium Risk
SW-20455,2014-07-22,9,2921.544,162,Medium Risk
SW-20755,2013-07-15,8,758.6959999999999,534,High Risk
SZ-20035,2014-11-26,20,3625.329,35,Low Risk
TA-21385,2014-10-23,10,14595.62,69,Low Risk
TB-21055,2014-09-03,18,1467.881,119,Medium Risk
TB-21175,2014-11-03,11,3589.296,58,Low Risk
TB-21190,2014-11-12,4,816.1740000000001,49,Low Risk
TB-21250,2014-01-16,19,1602.376,349,High Risk
TB-21280,2013-05-27,11,2198.45,583,High Risk
TB-21355,2014-08-07,13,834.328,146,Medium Risk
TB-21400,2014-06-12,17,9133.99,202,High Risk
TB-21520,2014-09-15,20,4737.486,107,Medium Risk
TB-21595,2014-03-21,7,1387.5590000000002,285,High Risk
TB-21625,2014-12-01,15,2797.6679999999997,30,Low Risk
TC-20980,2013-11-27,12,19052.218,399,High Risk
TC-21145,2014-09-16,4,1038.26,106,Medium Risk
TC-21295,2014-12-04,16,4266.812,27,Low Risk
TC-21475,2014-07-31,11,1244.976,153,Medium Risk
TC-21535,2014-12-27,10,742.558,4,Low Risk
TD-20995,2014-11-24,16,1434.548,37,Low Risk
TG-21310,2014-01-28,9,3058.372,337,High Risk
TG-21640,2014-09-08,10,2074.661,114,Medium Risk
TH-21100,2014-01-21,7,2422.824,344,High Risk
TH-21115,2014-11-03,9,2942.772,58,Low Risk
TH-21235,2014-09-05,13,1022.201,117,Medium Risk
TH-21550,2014-10-20,13,4234.096,72,Low Risk
TM-21010,2014-09-19,19,2955.226,103,Medium Risk
TM-21490,2014-08-23,4,1094.6779999999999,130,Medium Risk
TN-21040,2014-10-02,12,3130.221,90,Low Risk
TP-21130,2014-12-23,16,4454.0560000000005,8,Low Risk
TP-21415,2014-09-18,10,5329.0048,104,Medium Risk
TP-21565,2014-01-15,10,1936.6399999999999,350,High Risk
TR-21325,2014-06-21,7,675.942,193,High Risk
TS-21085,2014-01-08,2,4.833,357,High Risk
TS-21160,2013-08-14,17,2163.624,504,High Risk
TS-21205,2014-06-16,19,5371.09,198,High Risk
TS-21340,2014-05-19,12,974.782,226,High Risk
TS-21370,2014-11-25,15,11891.751,36,Low Risk
TS-21430,2014-07-12,7,2054.14,172,Medium Risk
TS-21505,2014-12-20,14,2243.274,11,Low Risk
TS-21610,2014-11-06,11,2820.424,55,Low Risk
TS-21655,2014-05-07,14,3368.094,238,High Risk
TT-21070,2014-11-30,14,4915.602000000001,31,Low Risk
TT-21220,2014-07-01,15,1427.044,183,High Risk
TT-21265,2013-11-20,3,439.5,406,High Risk
TT-21460,2014-12-19,14,5364.808,12,Low Risk
TW-21025,2014-10-28,12,5278.826,64,Low Risk
TZ-21580,2014-11-26,9,1707.286,35,Low Risk
VB-21745,2014-11-07,10,2005.596,54,Low Risk
VD-21670,2013-05-29,16,6442.254,581,High Risk
VF-21715,2014-12-18,11,847.944,13,Low Risk
VG-21790,2014-07-30,8,846.01,154,Medium Risk
VG-21805,2014-03-20,6,427.372,286,High Risk
VM-21685,2014-11-07,12,2454.866,54,Low Risk
VM-21835,2014-09-05,8,380.69,117,Medium Risk
VP-21730,2014-12-01,5,993.902,30,Low Risk
VP-21760,2014-10-17,14,3360.526,75,Low Risk
VS-21820,2014-05-24,8,1055.981,221,High Risk
VT-21700,2012-04-05,9,1736.596,1000,High Risk
VW-21775,2014-12-03,18,6134.0380000000005,28,Low Risk
WB-21850,2014-12-11,37,6160.102,20,Low Risk
XP-21865,2014-11-18,28,2374.658,43,Low Risk
YC-21895,2014-12-27,8,5454.35,4,Low Risk
YS-21880,2014-12-22,12,6720.4439999999995,9,Low Risk
ZC-21910,2014-11-07,31,8025.706999999999,54,Low Risk
ZD-21925,2014-06-12,9,1493.944,202,High Risk
